==308065== NVPROF is profiling process 308065, command: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling application: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Unified Memory","Virtual Address","Name","Correlation_ID"
s,ms,,,,,,,,B,B,MB,GB/s,,,,,,B,,,
1.363648,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8510000","[Unified Memory CPU page faults]",
1.370744,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8570000","[Unified Memory CPU page faults]",
1.377892,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d85d0000","[Unified Memory CPU page faults]",
1.385228,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8630000","[Unified Memory CPU page faults]",
1.407941,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8020000","[Unified Memory CPU page faults]",
1.484868,,,,,,,,,,,,,,,,,,"PC 0x5e240510","0x7f54d8640000","[Unified Memory CPU page faults]",
1.801239,0.276608,,,,,,,,,,,,,,"TITAN Xp (0)",,,"18","0x7f54d8800000","[Unified Memory GPU page faults]",
1.801299,0.287308,506,1,1,192,1,1,16,0,0,,,,,"TITAN Xp (0)","1","7",,,"cuda_initialize_variables(int, float*)",121
1.801526,0.250624,,,,,,,,,,,,,,"TITAN Xp (0)",,,"1","0x7f54d8a00000","[Unified Memory GPU page faults]",
1.801587,0.260682,506,1,1,192,1,1,16,0,0,,,,,"TITAN Xp (0)","1","7",,,"cuda_initialize_variables(int, float*)",132
1.801783,0.266304,,,,,,,,,,,,,,"TITAN Xp (0)",,,"3","0x7f54d8c16000","[Unified Memory GPU page faults]",
1.801848,0.271595,506,1,1,192,1,1,16,0,0,,,,,"TITAN Xp (0)","1","7",,,"cuda_initialize_variables(int, float*)",137
1.802057,0.124320,,,,,,,,,,,,,,"TITAN Xp (0)",,,"17","0x7f54d8e00000","[Unified Memory GPU page faults]",
1.802121,0.001312,,,,,,,,,,0.370605,275.853204,"Managed",,"TITAN Xp (0)","1","7",,,"[CUDA memset]",139
1.802296,0.172096,,,,,,,,,,,,,,"TITAN Xp (0)",,,"25","0x7f54d8000000","[Unified Memory GPU page faults]",
1.802319,0.015329,,,,,,,,,,1.853027,118.050559,"Managed","Managed","TITAN Xp (0)","1","7",,,"[CUDA memcpy DtoD]",141
1.802356,0.362478,506,1,1,192,1,1,17,0,0,,,,,"TITAN Xp (0)","1","7",,,"cuda_compute_step_factor(int, float*, float*, float*)",147
1.802441,0.007360,,,,,,,,,,,,,,"TITAN Xp (0)",,,65536.000000,"0x7f54d8000000","[Unified Memory Memcpy HtoD]",
1.802469,0.052768,,,,,,,,,,,,,,"TITAN Xp (0)",,,"11","0x7f54d8010000","[Unified Memory GPU page faults]",
1.802507,0.003808,,,,,,,,,,,,,,"TITAN Xp (0)",,,24576.000000,"0x7f54d8010000","[Unified Memory Memcpy HtoD]",
1.802511,0.001056,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8016000","[Unified Memory Memcpy HtoD]",
1.802512,0.001120,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d8017000","[Unified Memory Memcpy HtoD]",
1.802513,0.002528,,,,,,,,,,,,,,"TITAN Xp (0)",,,12288.000000,"0x7f54d8018000","[Unified Memory Memcpy HtoD]",
1.802515,0.001088,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d801b000","[Unified Memory Memcpy HtoD]",
1.802517,0.002464,,,,,,,,,,,,,,"TITAN Xp (0)",,,16384.000000,"0x7f54d801c000","[Unified Memory Memcpy HtoD]",
